Pose,Type,Depiction,Salient Elements,States,Complementary Poses,Concatonnated String
restaurant,setting,a restaurant,a dinner party,"at a dinner party, filled with delicious dishes, at a restaurant, at a fancy dinner, running restaurants, in a fancy restaurant",eating,"restaurant a restaurant a dinner party at a dinner party, filled with delicious dishes, at a restaurant, at a fancy dinner, running restaurants, in a fancy restaurant"
river of blood,setting,a river,,"of blood, of boiling blood, on the riverbank",slogging,"river of blood a river  of blood, of boiling blood, on the riverbank"
rocks and sky,setting,the sky,"a hilltop, a landscape","in the sky, from the sky, to the sky",slogging,"rocks and sky the sky a hilltop, a landscape in the sky, from the sky, to the sky"
rocky path,setting,"a path, rocks",,,slogging,"rocky path a path, rocks  "
rubbish dump,setting,"a dump, a rubbish dump, a landfill","a dumpster, an eyesore","of debris, of garbage, of burning rubble, of trash, of discarded wrapping, of rubbish, in a junkyard, of wreckage, of old junk, of old crap, of useless junk, of toxic garbage decay, in toxic waste",holding nose,"rubbish dump a dump, a rubbish dump, a landfill a dumpster, an eyesore of debris, of garbage, of burning rubble, of trash, of discarded wrapping, of rubbish, in a junkyard, of wreckage, of old junk, of old crap, of useless junk, of toxic garbage decay, in toxic waste"
salon,setting,"a salon, a spa, a day spa, a beauty parlor, a beauty parlour",a haircut,"flaunting foppish fashions, maintaining salon-quality hair","posing, blowdrying","salon a salon, a spa, a day spa, a beauty parlor, a beauty parlour a haircut flaunting foppish fashions, maintaining salon-quality hair"
sports field,setting,"a pitch, a stadium, a sports field","a cheerleader, an athlete, sport","in the field, in a game, on the track, at sports betting, of good sportsmanship, for the sport, at the track, in the final, of the game, playing soccer, running races",competing,"sports field a pitch, a stadium, a sports field a cheerleader, an athlete, sport in the field, in a game, on the track, at sports betting, of good sportsmanship, for the sport, at the track, in the final, of the game, playing soccer, running races"
stage curtains,setting,a stage,,"playing everyman characters, writing plays, writing plays about the middle classes",speaking,"stage curtains a stage  playing everyman characters, writing plays, writing plays about the middle classes"
stalactite,setting,a cave,,"of the underworld,  buried deep beneath the earth, deep beneath the earth, beneath the earth","pointing, slogging","stalactite a cave  of the underworld,  buried deep beneath the earth, deep beneath the earth, beneath the earth"
statue,setting,"a monument, a park",a statue,made of stone,purposeful,"statue a monument, a park a statue made of stone"
stone stairs,setting,"stairs, a staircase",a stairway,"of the underworld, of bony prisoners, of charred bones, on the stairs, of bleached bones",stepping down,"stone stairs stairs, a staircase a stairway of the underworld, of bony prisoners, of charred bones, on the stairs, of bleached bones"
sun and clouds,setting,"the sun, the sky, a sunny day","the sun rising, a sun rise, a sunrise, the sunrise, a heaven","in the sky, in the air, from the sky, in the sun, to the sky, in a cloud, on a cloud, from the heavens, to heaven, for the sun, the sunrise, of sunshine, in paradise",sweating,"sun and clouds the sun, the sky, a sunny day the sun rising, a sun rise, a sunrise, the sunrise, a heaven in the sky, in the air, from the sky, in the sun, to the sky, in a cloud, on a cloud, from the heavens, to heaven, for the sun, the sunrise, of sunshine, in paradise"
swamp gas,setting,"a swamp, a mire, a quagmire, a wasteland","a lake, a swamp","in the wild, in the darkness, in a fog, through a swamp","holding nose, slogging","swamp gas a swamp, a mire, a quagmire, a wasteland a lake, a swamp in the wild, in the darkness, in a fog, through a swamp"
swamp hollow,setting,"a swamp, a mire, a quagmire, a wasteland","a lake, a swamp","in the wild, through a swamp","holding nose, slogging","swamp hollow a swamp, a mire, a quagmire, a wasteland a lake, a swamp in the wild, through a swamp"
swamp,setting,"a swamp, a mire, a quagmire, a wasteland","a lake, a swamp, a quagmire, a mire",through a swamp,"holding nose, slogging","swamp a swamp, a mire, a quagmire, a wasteland a lake, a swamp, a quagmire, a mire through a swamp"
toilet,setting,"a toilet, a restroom, a bathroom, a privy, a public bathroom, an outhouse","a crap, a shit, a dump, a urinal, a toilet bowl, a toilet seat","in a shit house, with a toilet, to the outhouse, in the toilet, of toilet paper, of human excrement, in the bathroom, taking a crap, to the urinal, to the toilet, writing rap songs, writing bad movies, down the toilet, in a toilet, in the toilet",holding nose,"toilet a toilet, a restroom, a bathroom, a privy, a public bathroom, an outhouse a crap, a shit, a dump, a urinal, a toilet bowl, a toilet seat in a shit house, with a toilet, to the outhouse, in the toilet, of toilet paper, of human excrement, in the bathroom, taking a crap, to the urinal, to the toilet, writing rap songs, writing bad movies, down the toilet, in a toilet, in the toilet"
tornado,setting,"a tornado, a storm, a hurricane, a typhoon",a strong wind,"in a storm, in bad weather, with strong winds, with high winds, in complete chaos, in the wind, in a hurricane, in a tornado, in a windstorm, in a high wind, in a wind machine, in a wind tunnel, in a stiff breeze",shielding behind umbrella,"tornado a tornado, a storm, a hurricane, a typhoon a strong wind in a storm, in bad weather, with strong winds, with high winds, in complete chaos, in the wind, in a hurricane, in a tornado, in a windstorm, in a high wind, in a wind machine, in a wind tunnel, in a stiff breeze"
tower base,setting,a tower,the tower,"of epic proportions, in a tower, in the tower, of major proportions, on the tower",pointing,"tower base a tower the tower of epic proportions, in a tower, in the tower, of major proportions, on the tower"
tower in distance,setting,a tower,,on the horizon,saluting,tower in distance a tower  on the horizon
tower in swamp,setting,a tower,,,pointing,tower in swamp a tower  
tower tops,setting,"towers, a city, a shining city","a dream world, a fantasy, a fantasy world","to another world, at Disney World, at Disneyland, to disney world, making fantasy movies",towering,"tower tops towers, a city, a shining city a dream world, a fantasy, a fantasy world to another world, at Disney World, at Disneyland, to disney world, making fantasy movies"
tower,setting,a tower,the tower,"of epic proportions, in a tower, in the tower, to disney land, on the tower",towering,"tower a tower the tower of epic proportions, in a tower, in the tower, to disney land, on the tower"
trees,setting,"trees, a tree","the trees, a forest, a wood, the woods","in a tree, through the forest, through the woods, through the thicket, filled with trees, in the trees",slogging,"trees trees, a tree the trees, a forest, a wood, the woods in a tree, through the forest, through the woods, through the thicket, filled with trees, in the trees"
trench,setting,"a trench, a pit","a pit, an abyss, a ditch","in a pit, in the gutter, in the trenches",slogging,"trench a trench, a pit a pit, an abyss, a ditch in a pit, in the gutter, in the trenches"
university,setting,"a university, a college, a school, a community college","Harvard, Princeton, Oxford, Cambridge, MIT, Caltech, Stanford, Yale, Upenn, education","in high school, in a university, in the classroom, at a university, for academic achievement, in High School, in the schoolyard, at a private school, at a top university",learning,"university a university, a college, a school, a community college Harvard, Princeton, Oxford, Cambridge, MIT, Caltech, Stanford, Yale, Upenn, education in high school, in a university, in the classroom, at a university, for academic achievement, in High School, in the schoolyard, at a private school, at a top university"
valley,setting,"a valley, a glade","a sad vale, a meadow","of autumn leaves, in autumn, of old leaves",stepping up,"valley a valley, a glade a sad vale, a meadow of autumn leaves, in autumn, of old leaves"
volcano,setting,a volcano,"the eruption, a volcanic eruption","of black smoke, of molten lava, of unimaginable destruction, in a volcano, of Mount Vesuvius",sweating,"volcano a volcano the eruption, a volcanic eruption of black smoke, of molten lava, of unimaginable destruction, in a volcano, of Mount Vesuvius"
